franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,willima04,Matt Williams,3B,8.3,1998,2003
ARI,lambja01,Jake Lamb,3B,7.5,2014,2020
ARI,suareeu01,Eugenio Suárez,3B,6.4,2024,2025
ARI,escobed01,Eduardo Escobar,3B,6.2,2018,2021
ARI,tracych01,Chad Tracy,3B,5.9,2004,2009
ATL,jonesch06,Chipper Jones,3B,72.3,1998,2012
ATL,rileyau01,Austin Riley,3B,22.5,2019,2025
ATL,pradoma01,Martín Prado,3B,15.8,2006,2012
ATL,camarjo01,Johan Camargo,3B,3.6,2017,2021
ATL,johnsch05,Chris Johnson,3B,1.4,2013,2015
BAL,machama01,Manny Machado,3B,32,2012,2018
BAL,morame01,Melvin Mora,3B,29,2000,2009
BAL,uriasra01,Ramón Urías,3B,10.6,2020,2025
BAL,westbjo01,Jordan Westburg,3B,5.2,2023,2025
BAL,batisto01,Tony Batista,3B,4.8,2001,2003
BOS,deverra01,Rafael Devers,3B,24.8,2017,2025
BOS,lowelmi01,Mike Lowell,3B,10.6,2006,2010
BOS,muellbi02,Bill Mueller,3B,10.1,2003,2005
BOS,hillesh02,Shea Hillenbrand,3B,5.3,2001,2003
BOS,shawtr01,Travis Shaw,3B,2,2015,2022
CHC,bryankr01,Kris Bryant,3B,28,2015,2021
CHC,ramirar01,Aramis Ramírez,3B,24.1,2003,2011
CHC,boteda01,David Bote,3B,4.4,2018,2024
CHC,valbulu01,Luis Valbuena,3B,4.1,2012,2014
CHC,derosma01,Mark DeRosa,3B,4,2007,2008
CHW,moncayo01,Yoán Moncada,3B,14.5,2017,2024
CHW,credejo01,Joe Crede,3B,12.4,2000,2008
CHW,frazito01,Todd Frazier,3B,5.4,2016,2017
CHW,perryhe01,Herbert Perry,3B,3.4,2000,2001
CHW,saladty01,Tyler Saladino,3B,2.5,2015,2018
CIN,frazito01,Todd Frazier,3B,14.5,2011,2015
CIN,suareeu01,Eugenio Suárez,3B,12.8,2015,2021
CIN,booneaa01,Aaron Boone,3B,12.4,1998,2003
CIN,rolensc01,Scott Rolen,3B,7.6,2009,2012
CIN,encared01,Edwin Encarnación,3B,3.2,2005,2009
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,blakeca01,Casey Blake,3B,16,2003,2008
CLE,chiselo01,Lonnie Chisenhall,3B,9.2,2011,2018
CLE,frymatr01,Travis Fryman,3B,6.9,1998,2002
CLE,encared01,Edwin Encarnación,3B,4.7,2017,2018
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,mcmahry01,Ryan McMahon,3B,16.4,2017,2025
COL,castivi02,Vinny Castilla,3B,9.2,1998,2006
COL,cirilje01,Jeff Cirillo,3B,7.9,2000,2001
COL,atkinga01,Garrett Atkins,3B,5.3,2003,2009
DET,ingebr01,Brandon Inge,3B,18.6,2001,2012
DET,candeje01,Jeimer Candelario,3B,7.8,2017,2022
DET,haltesh01,Shane Halter,3B,6.8,2000,2003
DET,mckinza01,Zach McKinstry,3B,5,2023,2025
DET,maciajo01,José Macias,3B,3.4,1999,2002
HOU,bregmal01,Alex Bregman,3B,39.6,2016,2024
HOU,ensbemo01,Morgan Ensberg,3B,14.1,2000,2007
HOU,valbulu01,Luis Valbuena,3B,4.9,2015,2016
HOU,lambmi01,Mike Lamb,3B,4.3,2004,2007
HOU,caminke01,Ken Caminiti,3B,2.7,1999,2000
KCR,randajo01,Joe Randa,3B,14.2,1999,2004
KCR,moustmi01,Mike Moustakas,3B,11.4,2011,2018
KCR,garcima01,Maikel Garcia,3B,7.9,2022,2025
KCR,callaal01,Alberto Callaspo,3B,4.7,2008,2010
KCR,teahema01,Mark Teahen,3B,4,2005,2009
LAA,glaustr01,Troy Glaus,3B,22.6,1998,2004
LAA,figgich01,Chone Figgins,3B,22.4,2002,2009
LAA,izturma01,Maicer Izturis,3B,12.5,2005,2012
LAA,callaal01,Alberto Callaspo,3B,7.6,2010,2013
LAA,freesda01,David Freese,3B,4.4,2014,2015
LAD,turneju01,Justin Turner,3B,34.6,2014,2022
LAD,muncyma01,Max Muncy,3B,27.2,2018,2025
LAD,beltrad01,Adrian Beltré,3B,23.4,1998,2004
LAD,blakeca01,Casey Blake,3B,9.2,2008,2011
LAD,hanseda01,Dave Hansen,3B,2.5,1999,2002
MIA,lowelmi01,Mike Lowell,3B,14.2,1999,2005
MIA,anderbr06,Brian Anderson,3B,9.5,2017,2022
MIA,bertijo01,Jon Berti,3B,7.6,2019,2023
MIA,pradoma01,Martín Prado,3B,5.5,2015,2019
MIA,orieke01,Kevin Orie,3B,1.7,1998,1999
MIL,cirilje01,Jeff Cirillo,3B,13.7,1998,2006
MIL,hallbi03,Bill Hall,3B,9.3,2002,2009
MIL,ramirar01,Aramis Ramírez,3B,7.1,2012,2015
MIL,shawtr01,Travis Shaw,3B,6.3,2017,2021
MIL,perezhe01,Hernán Pérez,3B,4.2,2015,2019
MIN,koskico01,Corey Koskie,3B,22.1,1998,2004
MIN,plouftr01,Trevor Plouffe,3B,8.2,2010,2016
MIN,sanomi01,Miguel Sanó,3B,8.1,2015,2022
MIN,escobed01,Eduardo Escobar,3B,5.6,2012,2018
MIN,lewisro02,Royce Lewis,3B,4,2022,2025
NYM,wrighda03,David Wright,3B,49.1,2004,2018
NYM,alfoned01,Edgardo Alfonzo,3B,21.7,1998,2002
NYM,venturo01,Robin Ventura,3B,11,1999,2001
NYM,frazito01,Todd Frazier,3B,5.1,2018,2020
NYM,tatisfe01,Fernando Tatís,3B,2.7,2008,2010
NYY,headlch01,Chase Headley,3B,8.5,2014,2017
NYY,brosisc01,Scott Brosius,3B,8.3,1998,2001
NYY,urshegi01,Gio Urshela,3B,6.4,2019,2021
NYY,venturo01,Robin Ventura,3B,5.4,2002,2003
NYY,donaljo02,Josh Donaldson,3B,2.2,2022,2023
OAK,chaveer01,Eric Chavez,3B,35,1998,2010
OAK,chapmma01,Matt Chapman,3B,22.5,2017,2021
OAK,donaljo02,Josh Donaldson,3B,15.3,2010,2014
OAK,hannaja01,Jack Hannahan,3B,3.8,2007,2009
OAK,valenda01,Danny Valencia,3B,2.7,2015,2016
PHI,rolensc01,Scott Rolen,3B,25,1998,2002
PHI,bellda01,David Bell,3B,5.7,2003,2006
PHI,bohmal01,Alec Bohm,3B,5.3,2020,2025
PHI,felizpe01,Pedro Feliz,3B,1.8,2008,2009
PHI,francma02,Maikel Franco,3B,1.7,2014,2019
PIT,hayeske01,Ke'Bryan Hayes,3B,14.6,2020,2025
PIT,kangju01,Jung Ho Kang,3B,5.9,2015,2019
PIT,freesda01,David Freese,3B,5.7,2016,2018
PIT,triolja01,Jared Triolo,3B,5.7,2023,2025
PIT,alvarpe01,Pedro Álvarez,3B,4,2010,2015
SDP,machama01,Manny Machado,3B,27.1,2019,2025
SDP,headlch01,Chase Headley,3B,18.3,2007,2018
SDP,nevinph01,Phil Nevin,3B,17.8,1999,2005
SDP,solarya01,Yangervis Solarte,3B,6.6,2014,2017
SDP,burrose01,Sean Burroughs,3B,5.9,2002,2005
SEA,seageky01,Kyle Seager,3B,37,2011,2021
SEA,martied01,Edgar Martínez,3B,26.5,1998,2004
SEA,beltrad01,Adrian Beltré,3B,21.2,2005,2009
SEA,suareeu01,Eugenio Suárez,3B,6.8,2022,2025
SEA,bellda01,David Bell,3B,5.9,1998,2001
SFG,sandopa01,Pablo Sandoval,3B,20.8,2008,2020
SFG,chapmma01,Matt Chapman,3B,11.3,2024,2025
SFG,longoev01,Evan Longoria,3B,6.8,2018,2022
SFG,felizpe01,Pedro Feliz,3B,6.2,2000,2007
SFG,muellbi02,Bill Mueller,3B,6.1,1998,2002
STL,carpema01,Matt Carpenter,3B,26.7,2011,2024
STL,rolensc01,Scott Rolen,3B,25.9,2002,2007
STL,arenano01,Nolan Arenado,3B,18.1,2021,2025
STL,freesda01,David Freese,3B,6.7,2009,2013
STL,tatisfe01,Fernando Tatís,3B,5.5,1998,2000
TBR,longoev01,Evan Longoria,3B,51.7,2008,2017
TBR,paredis01,Isaac Paredes,3B,9,2022,2024
TBR,caminju01,Junior Caminero,3B,5.1,2023,2025
TBR,duffyma01,Matt Duffy,3B,3,2016,2019
TBR,johnsru01,Russ Johnson,3B,2.7,2000,2002
TEX,beltrad01,Adrian Beltré,3B,41.3,2011,2018
TEX,blaloha01,Hank Blalock,3B,13.5,2002,2009
TEX,derosma01,Mark DeRosa,3B,4.9,2005,2006
TEX,jungjo01,Josh Jung,3B,4.7,2022,2025
TEX,zeileto01,Todd Zeile,3B,3.1,1998,1999
TOR,encared01,Edwin Encarnación,3B,24.8,2009,2016
TOR,donaljo02,Josh Donaldson,3B,19.8,2015,2018
TOR,lawribr01,Brett Lawrie,3B,12.7,2011,2014
TOR,clemeer01,Ernie Clement,3B,8.6,2023,2025
TOR,chapmma01,Matt Chapman,3B,8,2022,2023
WSN,zimmery01,Ryan Zimmerman,3B,40.1,2005,2021
WSN,rendoan01,Anthony Rendon,3B,30.3,2013,2019
WSN,vargail01,Ildemaro Vargas,3B,1.9,2022,2024
WSN,andresh01,Shane Andrews,3B,0.7,1998,1999
WSN,tenajo01,José Tena,3B,0.6,2024,2025
