franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,johnsra05,Randy Johnson,P,50.9,1999,2008
ARI,goldspa01,Paul Goldschmidt,1B,39.9,2011,2018
ARI,marteke01,Ketel Marte,2B,33.1,2017,2025
ARI,webbbr01,Brandon Webb,P,31,2003,2009
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ATL,jonesch06,Chipper Jones,3B,85.3,1993,2012
ATL,smoltjo01,John Smoltz,P,69.5,1988,2008
ATL,maddugr01,Greg Maddux,P,67.3,1993,2003
ATL,glavito02,Tom Glavine,P,63.6,1987,2008
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
BAL,ripkeca01,Cal Ripken Jr.,SS,95.9,1981,2001
BAL,murraed02,Eddie Murray,1B,56.6,1977,1996
BAL,mussimi01,Mike Mussina,P,47.8,1991,2000
BAL,anderbr01,Brady Anderson,OF,34.9,1988,2001
BAL,jonesad01,Adam Jones,OF,32.3,2008,2018
BOS,clemero02,Roger Clemens,P,80.8,1984,1996
BOS,boggswa01,Wade Boggs,3B,71.9,1982,1992
BOS,martipe02,Pedro Martínez,P,53.5,1998,2004
BOS,ortizda01,David Ortiz,1B,52.5,2003,2016
BOS,evansdw01,Dwight Evans,OF,51.9,1977,1990
CHC,sandbry01,Ryne Sandberg,2B,68.1,1982,1997
CHC,sosasa01,Sammy Sosa,OF,58.8,1992,2004
CHC,gracema01,Mark Grace,1B,44.2,1988,2000
CHC,zambrca01,Carlos Zambrano,P,43.2,2001,2011
CHC,rizzoan01,Anthony Rizzo,1B,37.1,2012,2021
CHW,thomafr04,Frank Thomas,1B,68.3,1990,2005
CHW,buehrma01,Mark Buehrle,P,48.7,2000,2011
CHW,venturo01,Robin Ventura,3B,39.4,1989,1998
CHW,abreujo02,José Abreu,1B,31.3,2014,2022
CHW,salech01,Chris Sale,P,30.1,2010,2016
CIN,larkiba01,Barry Larkin,SS,70.5,1986,2004
CIN,vottojo01,Joey Votto,1B,63.6,2007,2023
CIN,rijojo01,José Rijo,P,38,1988,2002
CIN,daviser01,Eric Davis,OF,30.6,1984,1996
CIN,phillbr01,Brandon Phillips,2B,28.6,2006,2016
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,loftoke01,Kenny Lofton,OF,48.6,1992,2007
CLE,thomeji01,Jim Thome,1B,48,1991,2011
CLE,klubeco01,Corey Kluber,P,32.5,2011,2019
CLE,santaca01,Carlos Santana,1B,31.2,2010,2025
COL,heltoto01,Todd Helton,1B,61.8,1997,2013
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,tulowtr01,Troy Tulowitzki,SS,39.6,2006,2015
COL,storytr01,Trevor Story,SS,27,2016,2021
DET,whitalo01,Lou Whitaker,2B,75.1,1977,1995
DET,trammal01,Alan Trammell,SS,70.6,1977,1996
DET,verlaju01,Justin Verlander,P,56.1,2005,2017
DET,cabremi01,Miguel Cabrera,1B,49,2008,2023
DET,morrija02,Jack Morris,P,37.6,1977,1990
HOU,bagweje01,Jeff Bagwell,1B,79.9,1991,2005
HOU,biggicr01,Craig Biggio,2B,65.5,1988,2007
HOU,altuvjo01,Jose Altuve,2B,53.4,2011,2025
HOU,berkmla01,Lance Berkman,OF,48.1,1999,2010
HOU,oswalro01,Roy Oswalt,P,46,2001,2010
KCR,brettge01,George Brett,3B,74.1,1977,1993
KCR,appieke01,Kevin Appier,P,47,1989,2004
KCR,wilsowi02,Willie Wilson,OF,42.4,1977,1990
KCR,saberbr01,Bret Saberhagen,P,40.7,1984,1991
KCR,gubicma01,Mark Gubicza,P,38,1984,1996
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,finlech01,Chuck Finley,P,51.8,1986,1999
LAA,salmoti01,Tim Salmon,OF,40.6,1992,2006
LAA,downibr01,Brian Downing,OF,38,1978,1990
LAA,weaveje02,Jered Weaver,P,35.9,2006,2016
LAD,kershcl01,Clayton Kershaw,P,80.9,2008,2025
LAD,hershor01,Orel Hershiser,P,44.4,1983,2000
LAD,valenfe01,Fernando Valenzuela,P,36.8,1980,1990
LAD,turneju01,Justin Turner,3B,34.6,2014,2022
LAD,welchbo01,Bob Welch,P,32.9,1978,1987
MIA,stantmi03,Giancarlo Stanton,OF,35.9,2010,2017
MIA,ramirha01,Hanley Ramírez,SS,26.9,2006,2012
MIA,johnsjo09,Josh Johnson,P,25.7,2005,2012
MIA,castilu01,Luis Castillo,2B,22.4,1996,2005
MIA,willido03,Dontrelle Willis,P,20.8,2003,2007
MIL,yountro01,Robin Yount,SS,73.9,1977,1993
MIL,molitpa01,Paul Molitor,3B,59.9,1978,1992
MIL,braunry02,Ryan Braun,OF,47.2,2007,2020
MIL,coopece01,Cecil Cooper,1B,30.7,1977,1987
MIL,higuete01,Teddy Higuera,P,30.3,1985,1994
MIN,mauerjo01,Joe Mauer,C,55.6,2004,2018
MIN,puckeki01,Kirby Puckett,OF,51.1,1984,1995
MIN,radkebr01,Brad Radke,P,45.3,1995,2006
MIN,hrbekke01,Kent Hrbek,1B,38.6,1981,1994
MIN,knoblch01,Chuck Knoblauch,2B,38,1991,1997
NYM,wrighda03,David Wright,3B,49.1,2004,2018
NYM,goodedw01,Dwight Gooden,P,46.4,1984,1994
NYM,degroja01,Jacob deGrom,P,43.9,2014,2022
NYM,strawda01,Darryl Strawberry,OF,36.6,1983,1990
NYM,beltrca01,Carlos Beltrán,OF,31.1,2005,2011
NYY,jeterde01,Derek Jeter,SS,71.3,1995,2014
NYY,judgeaa01,Aaron Judge,OF,62.2,2016,2025
NYY,riverma01,Mariano Rivera,P,56.3,1995,2013
NYY,rodrial01,Alex Rodriguez,SS,53.8,2004,2016
NYY,pettian01,Andy Pettitte,P,51.1,1995,2013
OAK,henderi01,Rickey Henderson,OF,72.7,1979,1998
OAK,mcgwima01,Mark McGwire,1B,42.9,1986,1997
OAK,chaveer01,Eric Chavez,3B,35,1998,2010
OAK,murphdw01,Dwayne Murphy,OF,31.7,1978,1987
OAK,hudsoti01,Tim Hudson,P,31,1999,2004
PHI,schmimi01,Mike Schmidt,3B,79.6,1977,1989
PHI,utleych01,Chase Utley,2B,62,2003,2015
PHI,rolliji01,Jimmy Rollins,SS,47.6,2000,2014
PHI,abreubo01,Bobby Abreu,OF,47.2,1998,2006
PHI,carltst01,Steve Carlton,P,43.3,1977,1986
PIT,bondsba01,Barry Bonds,OF,50.3,1986,1992
PIT,mccutan01,Andrew McCutchen,OF,42.6,2009,2025
PIT,vanslan01,Andy Van Slyke,OF,31,1987,1994
PIT,kendaja01,Jason Kendall,C,30.7,1996,2004
PIT,candejo01,John Candelaria,P,29.7,1977,1993
SDP,gwynnto01,Tony Gwynn,OF,69.2,1982,2001
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,machama01,Manny Machado,3B,27.1,2019,2025
SDP,peavyja01,Jake Peavy,P,26.8,2002,2009
SDP,hoffmtr01,Trevor Hoffman,P,25.8,1993,2008
SEA,griffke02,Ken Griffey Jr.,OF,70.6,1989,2010
SEA,martied01,Edgar Martínez,3B,68.4,1987,2004
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
SEA,hernafe02,Félix Hernández,P,49.8,2005,2019
SEA,johnsra05,Randy Johnson,P,39,1989,1998
SFG,bondsba01,Barry Bonds,OF,112.5,1993,2007
SFG,poseybu01,Buster Posey,C,45,2009,2021
SFG,bumgama01,Madison Bumgarner,P,37.4,2009,2019
SFG,clarkwi02,Will Clark,1B,35.8,1986,1993
SFG,willima04,Matt Williams,3B,34,1987,1996
STL,pujolal01,Albert Pujols,1B,88.6,2001,2022
STL,smithoz01,Ozzie Smith,SS,66,1982,1996
STL,wainwad01,Adam Wainwright,P,45.3,2005,2023
STL,molinya01,Yadier Molina,C,41.6,2004,2022
STL,edmonji01,Jim Edmonds,OF,37.9,2000,2007
TBR,longoev01,Evan Longoria,3B,51.7,2008,2017
TBR,crawfca02,Carl Crawford,OF,35.6,2002,2010
TBR,zobribe01,Ben Zobrist,2B,35.3,2006,2014
TBR,kiermke01,Kevin Kiermaier,OF,31.5,2013,2022
TBR,priceda01,David Price,P,21.2,2008,2014
