franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,goldspa01,Paul Goldschmidt,1B,39.9,2011,2018
ARI,marteke01,Ketel Marte,2B,33.1,2017,2025
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ARI,polloaj01,AJ Pollock,OF,18.6,2012,2018
ARI,finlest01,Steve Finley,OF,18,1999,2004
ATL,jonesch06,Chipper Jones,3B,85.3,1993,2012
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
ATL,freemfr01,Freddie Freeman,1B,43,2010,2021
ATL,acunaro01,Ronald Acuña Jr.,OF,28.6,2018,2025
ATL,mccanbr01,Brian McCann,C,24.5,2005,2019
BAL,jonesad01,Adam Jones,OF,32.3,2008,2018
BAL,machama01,Manny Machado,3B,32,2012,2018
BAL,morame01,Melvin Mora,3B,29,2000,2009
BAL,roberbr01,Brian Roberts,2B,28.8,2001,2013
BAL,anderbr01,Brady Anderson,OF,28,1993,2001
BOS,ortizda01,David Ortiz,1B,52.5,2003,2016
BOS,pedrodu01,Dustin Pedroia,2B,51.8,2006,2019
BOS,bettsmo01,Mookie Betts,OF,42.5,2014,2019
BOS,garcino01,Nomar Garciaparra,SS,41.2,1996,2004
BOS,bogaexa01,Xander Bogaerts,SS,34.6,2013,2022
CHC,sosasa01,Sammy Sosa,OF,58.2,1993,2004
CHC,rizzoan01,Anthony Rizzo,1B,37.1,2012,2021
CHC,gracema01,Mark Grace,1B,29.3,1993,2000
CHC,bryankr01,Kris Bryant,3B,28,2015,2021
CHC,ramirar01,Aramis Ramírez,3B,24.1,2003,2011
CHW,thomafr04,Frank Thomas,1B,52,1993,2005
CHW,abreujo02,José Abreu,1B,31.3,2014,2022
CHW,konerpa01,Paul Konerko,1B,29.2,1999,2014
CHW,venturo01,Robin Ventura,3B,25.7,1993,1998
CHW,ordonma01,Magglio Ordóñez,OF,25.3,1997,2004
CIN,vottojo01,Joey Votto,1B,63.6,2007,2023
CIN,larkiba01,Barry Larkin,SS,39.5,1993,2004
CIN,phillbr01,Brandon Phillips,2B,28.6,2006,2016
CIN,sandere02,Reggie Sanders,OF,19.7,1993,1998
CIN,bruceja01,Jay Bruce,OF,17.4,2008,2016
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,thomeji01,Jim Thome,1B,48.2,1993,2011
CLE,loftoke01,Kenny Lofton,OF,42,1993,2007
CLE,santaca01,Carlos Santana,1B,31.2,2010,2025
CLE,vizquom01,Omar Vizquel,SS,30.2,1994,2004
COL,heltoto01,Todd Helton,1B,61.8,1997,2013
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,tulowtr01,Troy Tulowitzki,SS,39.6,2006,2015
COL,storytr01,Trevor Story,SS,27,2016,2021
DET,cabremi01,Miguel Cabrera,1B,49,2008,2023
DET,higgibo02,Bobby Higginson,OF,23.1,1995,2005
DET,grandcu01,Curtis Granderson,OF,21.2,2004,2009
DET,jacksau01,Austin Jackson,OF,20.1,2010,2014
DET,polanpl01,Plácido Polanco,2B,19.1,2005,2009
HOU,bagweje01,Jeff Bagwell,1B,70.3,1993,2005
HOU,altuvjo01,Jose Altuve,2B,53.4,2011,2025
HOU,biggicr01,Craig Biggio,2B,51,1993,2007
HOU,berkmla01,Lance Berkman,OF,48.1,1999,2010
HOU,bregmal01,Alex Bregman,3B,39.6,2016,2024
KCR,perezsa02,Salvador Perez,C,35.5,2011,2025
KCR,gordoal01,Alex Gordon,OF,34.9,2007,2020
KCR,beltrca01,Carlos Beltrán,OF,24.8,1998,2004
KCR,cainlo01,Lorenzo Cain,OF,24.6,2011,2017
KCR,sweenmi01,Mike Sweeney,1B,23.3,1995,2007
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,salmoti01,Tim Salmon,OF,40.8,1993,2006
LAA,erstada01,Darin Erstad,OF,32.6,1996,2006
