franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,marteke01,Ketel Marte,2B,33.1,2017,2025
ARI,counscr01,Craig Counsell,2B,12.7,2000,2006
ARI,hudsoor01,Orlando Hudson,2B,10.5,2006,2008
ARI,hillaa01,Aaron Hill,2B,6.8,2011,2015
ARI,johnske05,Kelly Johnson,2B,5,2010,2011
ARI,spiveju01,Junior Spivey,2B,5,2001,2003
ATL,albieoz01,Ozzie Albies,2B,24.1,2017,2025
ATL,hubbagl01,Glenn Hubbard,2B,16.9,1978,1987
ATL,gilesma01,Marcus Giles,2B,16.7,2001,2006
ATL,millafe01,Félix Millán,2B,9.5,1966,1972
ATL,johnske05,Kelly Johnson,2B,6.6,2005,2016
BAL,grichbo01,Bobby Grich,2B,36,1970,1976
BAL,roberbr01,Brian Roberts,2B,28.8,2001,2013
BAL,johnsda02,Davey Johnson,2B,20.1,1965,1972
BAL,schoojo01,Jonathan Schoop,2B,15,2013,2018
BAL,dauerri01,Rich Dauer,2B,14.4,1976,1985
BOS,pedrodu01,Dustin Pedroia,2B,51.8,2006,2019
BOS,reedjo01,Jody Reed,2B,14.3,1987,1992
BOS,andremi01,Mike Andrews,2B,10.8,1966,1970
BOS,barrema02,Marty Barrett,2B,9.3,1982,1990
BOS,holtbr01,Brock Holt,2B,9,2013,2019
CHC,sandbry01,Ryne Sandberg,2B,68.1,1982,1997
CHC,hoernni01,Nico Hoerner,2B,21.8,2019,2025
CHC,beckegl01,Glenn Beckert,2B,16.4,1965,1973
CHC,zobribe01,Ben Zobrist,2B,6.9,2016,2019
CHC,barneda01,Darwin Barney,2B,6.3,2010,2014
CHW,durhara01,Ray Durham,2B,21.4,1995,2002
CHW,ortajo01,Jorge Orta,2B,11.7,1972,1979
CHW,grebecr01,Craig Grebeck,2B,8.8,1990,1995
CHW,bernato01,Tony Bernazard,2B,7.7,1981,1983
CHW,sanchca01,Yolmer Sanchez,2B,7.2,2014,2020
CIN,morgajo02,Joe Morgan,2B,57.9,1972,1979
CIN,phillbr01,Brandon Phillips,2B,28.6,2006,2016
CIN,oestero01,Ron Oester,2B,11,1978,1990
CIN,indiajo01,Jonathan India,2B,6.7,2021,2024
CIN,roberbi01,Bip Roberts,2B,4.8,1992,1993
CLE,alomaro01,Roberto Alomar,2B,20.3,1999,2001
