franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,goldspa01,Paul Goldschmidt,1B,39.9,2011,2018
ARI,marteke01,Ketel Marte,2B,33.1,2017,2025
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ARI,polloaj01,AJ Pollock,OF,18.6,2012,2018
ARI,finlest01,Steve Finley,OF,18,1999,2004
ATL,aaronha01,Henry Aaron,OF,142.8,1954,1974
ATL,matheed01,Eddie Mathews,3B,94,1952,1966
ATL,jonesch06,Chipper Jones,3B,85.3,1993,2012
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
ATL,murphda05,Dale Murphy,OF,47.2,1976,1990
BAL,ripkeca01,Cal Ripken Jr.,SS,95.9,1981,2001
BAL,robinbr01,Brooks Robinson,3B,78.3,1955,1977
BAL,murraed02,Eddie Murray,1B,56.6,1977,1996
BAL,sislege01,George Sisler,1B,52.5,1915,1927
BAL,wallabo01,Bobby Wallace,SS,48.7,1902,1916
BOS,willite01,Ted Williams,OF,121.8,1939,1960
BOS,yastrca01,Carl Yastrzemski,OF,96.4,1961,1983
BOS,boggswa01,Wade Boggs,3B,71.9,1982,1992
BOS,evansdw01,Dwight Evans,OF,66.5,1972,1990
BOS,speaktr01,Tris Speaker,OF,55.8,1907,1915
CHC,santoro01,Ron Santo,3B,72.2,1960,1973
CHC,sandbry01,Ryne Sandberg,2B,68.1,1982,1997
CHC,bankser01,Ernie Banks,1B,67.8,1953,1971
CHC,willibi01,Billy Williams,OF,61.7,1959,1974
CHC,sosasa01,Sammy Sosa,OF,58.8,1992,2004
CHW,applilu01,Luke Appling,SS,77.2,1930,1950
CHW,thomafr04,Frank Thomas,1B,68.3,1990,2005
CHW,collied01,Eddie Collins,2B,66.8,1915,1926
CHW,foxne01,Nellie Fox,2B,47.3,1950,1963
CHW,minosmi01,Minnie Miñoso,OF,41.4,1951,1980
CIN,rosepe01,Pete Rose,OF,78.1,1963,1986
CIN,benchjo01,Johnny Bench,C,75.1,1967,1983
CIN,larkiba01,Barry Larkin,SS,70.5,1986,2004
CIN,robinfr02,Frank Robinson,OF,63.8,1956,1965
CIN,vottojo01,Joey Votto,1B,63.6,2007,2023
CLE,lajoina01,Nap Lajoie,2B,79.6,1902,1914
CLE,speaktr01,Tris Speaker,OF,74.9,1916,1926
CLE,boudrlo01,Lou Boudreau,SS,61.8,1938,1950
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,averiea01,Earl Averill,OF,51.3,1929,1939
COL,heltoto01,Todd Helton,1B,61.8,1997,2013
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,tulowtr01,Troy Tulowitzki,SS,39.6,2006,2015
COL,storytr01,Trevor Story,SS,27,2016,2021
DET,cobbty01,Ty Cobb,OF,145,1905,1926
DET,kalinal01,Al Kaline,OF,92.8,1953,1974
DET,gehrich01,Charlie Gehringer,2B,84.8,1924,1942
DET,whitalo01,Lou Whitaker,2B,75.1,1977,1995
DET,trammal01,Alan Trammell,SS,70.6,1977,1996
HOU,bagweje01,Jeff Bagwell,1B,79.9,1991,2005
HOU,biggicr01,Craig Biggio,2B,65.5,1988,2007
HOU,altuvjo01,Jose Altuve,2B,53.4,2011,2025
HOU,cruzjo01,José Cruz,OF,51.4,1975,1987
HOU,cedence01,César Cedeño,OF,49.8,1970,1981
KCR,brettge01,George Brett,3B,88.6,1973,1993
KCR,otisam01,Amos Otis,OF,44.8,1970,1983
KCR,wilsowi02,Willie Wilson,OF,42.4,1976,1990
KCR,perezsa02,Salvador Perez,C,35.5,2011,2025
KCR,gordoal01,Alex Gordon,OF,34.9,2007,2020
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,fregoji01,Jim Fregosi,SS,45.9,1961,1971
LAA,salmoti01,Tim Salmon,OF,40.6,1992,2006
