franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ARI,polloaj01,AJ Pollock,OF,18.6,2012,2018
ARI,finlest01,Steve Finley,OF,18,1999,2004
ARI,carroco02,Corbin Carroll,OF,15.7,2022,2025
ARI,peralda01,David Peralta,OF,15.7,2014,2022
ATL,aaronha01,Henry Aaron,OF,142.8,1954,1974
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
ATL,murphda05,Dale Murphy,OF,47.2,1976,1990
ATL,bergewa01,Wally Berger,OF,36.6,1930,1937
ATL,holmeto01,Tommy Holmes,OF,35.9,1942,1951
BAL,willike01,Ken Williams,OF,40.4,1918,1927
BAL,blairpa01,Paul Blair,OF,39.7,1964,1976
BAL,anderbr01,Brady Anderson,OF,34.9,1988,2001
BAL,robinfr02,Frank Robinson,OF,32.4,1966,1971
BAL,jonesad01,Adam Jones,OF,32.3,2008,2018
BOS,willite01,Ted Williams,OF,121.8,1939,1960
BOS,yastrca01,Carl Yastrzemski,OF,96.4,1961,1983
BOS,evansdw01,Dwight Evans,OF,66.5,1972,1990
BOS,speaktr01,Tris Speaker,OF,55.8,1907,1915
BOS,riceji01,Jim Rice,OF,47.7,1974,1989
CHC,willibi01,Billy Williams,OF,61.7,1959,1974
CHC,sosasa01,Sammy Sosa,OF,58.8,1992,2004
CHC,nichobi01,Bill Nicholson,OF,38.6,1939,1948
CHC,wilsoha01,Hack Wilson,OF,31.3,1926,1931
CHC,pafkoan01,Andy Pafko,OF,26.9,1943,1951
CHW,minosmi01,Minnie Miñoso,OF,41.4,1951,1980
CHW,jonesfi01,Fielder Jones,OF,32,1901,1908
CHW,jacksjo01,Joe Jackson,OF,27.8,1915,1920
CHW,ordonma01,Magglio Ordóñez,OF,25.3,1997,2004
CHW,lemonch01,Chet Lemon,OF,24.9,1975,1981
CIN,rosepe01,Pete Rose,OF,78.1,1963,1986
CIN,robinfr02,Frank Robinson,OF,63.8,1956,1965
CIN,pinsova01,Vada Pinson,OF,47.7,1958,1968
CIN,roushed01,Edd Roush,OF,40.8,1916,1931
CIN,fostege01,George Foster,OF,39.5,1971,1981
CLE,speaktr01,Tris Speaker,OF,74.9,1916,1926
CLE,averiea01,Earl Averill,OF,51.3,1929,1939
CLE,loftoke01,Kenny Lofton,OF,48.6,1992,2007
CLE,dobyla01,Larry Doby,OF,43.1,1947,1958
CLE,jacksjo01,Joe Jackson,OF,35,1910,1915
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,gonzaca01,Carlos González,OF,24,2009,2018
COL,blackch02,Charlie Blackmon,OF,21.7,2011,2024
COL,hollima01,Matt Holliday,OF,18.6,2004,2018
COL,burksel01,Ellis Burks,OF,12,1994,1998
DET,cobbty01,Ty Cobb,OF,145,1905,1926
DET,kalinal01,Al Kaline,OF,92.8,1953,1974
DET,heilmha01,Harry Heilmann,OF,67.8,1914,1929
DET,crawfsa01,Sam Crawford,OF,63.7,1903,1917
DET,veachbo01,Bobby Veach,OF,46,1912,1923
HOU,cruzjo01,José Cruz,OF,51.4,1975,1987
HOU,cedence01,César Cedeño,OF,49.8,1970,1981
HOU,berkmla01,Lance Berkman,OF,48.1,1999,2010
HOU,wynnji01,Jim Wynn,OF,41.6,1963,1973
HOU,puhlte01,Terry Puhl,OF,28.4,1977,1990
KCR,otisam01,Amos Otis,OF,44.8,1970,1983
KCR,wilsowi02,Willie Wilson,OF,42.4,1976,1990
KCR,gordoal01,Alex Gordon,OF,34.9,2007,2020
KCR,mcraeha01,Hal McRae,OF,27.6,1973,1987
KCR,beltrca01,Carlos Beltrán,OF,24.8,1998,2004
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,salmoti01,Tim Salmon,OF,40.6,1992,2006
LAA,downibr01,Brian Downing,OF,38,1978,1990
LAA,erstada01,Darin Erstad,OF,32.6,1996,2006
LAA,anderga01,Garret Anderson,OF,28.1,1994,2008
LAD,snidedu01,Duke Snider,OF,65.4,1947,1962
LAD,wheatza01,Zack Wheat,OF,59.9,1909,1926
LAD,daviswi02,Willie Davis,OF,54.6,1960,1973
LAD,walkedi02,Dixie Walker,OF,35,1939,1947
LAD,furilca01,Carl Furillo,OF,34.6,1946,1960
MIA,stantmi03,Giancarlo Stanton,OF,35.9,2010,2017
MIA,yelicch01,Christian Yelich,OF,17.6,2013,2017
MIA,floydcl01,Cliff Floyd,OF,16.9,1997,2002
MIA,ozunama01,Marcell Ozuna,OF,13.7,2013,2017
MIA,sheffga01,Gary Sheffield,OF,13.1,1993,1998
MIL,braunry02,Ryan Braun,OF,47.2,2007,2020
MIL,yelicch01,Christian Yelich,OF,27.5,2018,2025
MIL,jenkige01,Geoff Jenkins,OF,22.1,1998,2007
MIL,oglivbe01,Ben Oglivie,OF,21.5,1978,1986
MIL,lezcasi01,Sixto Lezcano,OF,19,1974,1980
MIN,ricesa01,Sam Rice,OF,53.7,1915,1933
MIN,puckeki01,Kirby Puckett,OF,51.1,1984,1995
MIN,gosligo01,Goose Goslin,OF,43.5,1921,1938
MIN,olivato01,Tony Oliva,OF,43.1,1962,1976
MIN,milancl01,Clyde Milan,OF,40.1,1907,1922
NYM,strawda01,Darryl Strawberry,OF,36.6,1983,1990
NYM,beltrca01,Carlos Beltrán,OF,31.1,2005,2011
NYM,nimmobr01,Brandon Nimmo,OF,26.1,2016,2025
NYM,wilsomo01,Mookie Wilson,OF,20.8,1980,1989
NYM,jonescl01,Cleon Jones,OF,18.1,1963,1975
NYY,ruthba01,Babe Ruth,OF,142.8,1920,1934
NYY,mantlmi01,Mickey Mantle,OF,110.3,1951,1968
NYY,dimagjo01,Joe DiMaggio,OF,79.1,1936,1951
NYY,judgeaa01,Aaron Judge,OF,62.2,2016,2025
NYY,willibe02,Bernie Williams,OF,49.6,1991,2006
OAK,henderi01,Rickey Henderson,OF,72.7,1979,1998
OAK,simmoal01,Al Simmons,OF,51.2,1924,1944
OAK,jacksre01,Reggie Jackson,OF,48.1,1967,1987
OAK,johnsbo01,Bob Johnson,OF,43.3,1933,1942
OAK,murphdw01,Dwayne Murphy,OF,31.7,1978,1987
PHI,ashburi01,Richie Ashburn,OF,58.1,1948,1959
PHI,mageesh01,Sherry Magee,OF,48.3,1904,1914
PHI,abreubo01,Bobby Abreu,OF,47.2,1998,2006
PHI,callijo01,Johnny Callison,OF,39.5,1960,1969
PHI,kleinch01,Chuck Klein,OF,37,1928,1944
PIT,clemero01,Roberto Clemente,OF,95,1955,1972
PIT,wanerpa01,Paul Waner,OF,70.1,1926,1940
PIT,stargwi01,Willie Stargell,OF,57.6,1962,1982
PIT,careyma01,Max Carey,OF,53.5,1910,1926
PIT,bondsba01,Barry Bonds,OF,50.3,1986,1992
SDP,gwynnto01,Tony Gwynn,OF,69.2,1982,2001
SDP,winfida01,Dave Winfield,OF,32,1973,1980
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,richage01,Gene Richards,OF,19,1977,1983
SDP,gilesbr02,Brian Giles,OF,17.4,2003,2009
SEA,griffke02,Ken Griffey Jr.,OF,70.6,1989,2010
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
