franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,montemi01,Miguel Montero,C,13.5,2006,2014
ARI,morenga01,Gabriel Moreno,C,8.4,2023,2025
ARI,milleda02,Damian Miller,C,5.9,1998,2002
ARI,snydech02,Chris Snyder,C,4.6,2004,2010
ARI,kellyca02,Carson Kelly,C,4.3,2019,2023
ATL,mccanbr01,Brian McCann,C,24.5,2005,2019
ATL,lopezja01,Javy López,C,16.3,1998,2003
ATL,murphse01,Sean Murphy,C,7.7,2023,2025
ATL,rossda01,David Ross,C,5.3,2009,2012
ATL,darnatr01,Travis d'Arnaud,C,5.1,2020,2024
BAL,wietema01,Matt Wieters,C,18.1,2009,2016
BAL,rutscad01,Adley Rutschman,C,15.1,2022,2025
BAL,hernara02,Ramón Hernández,C,7.3,2006,2008
BAL,lopezja01,Javy López,C,7,2004,2006
BAL,johnsch04,Charles Johnson,C,6.2,1999,2000
BOS,varitja01,Jason Varitek,C,24.2,1998,2011
BOS,vazquch01,Christian Vázquez,C,6.9,2014,2022
BOS,saltaja01,Jarrod Saltalamacchia,C,5.2,2010,2013
BOS,martivi01,Víctor Martínez,C,4.9,2009,2010
BOS,wongco01,Connor Wong,C,3.3,2021,2025
CHC,contrwi01,Willson Contreras,C,20.5,2016,2022
CHC,sotoge01,Geovany Soto,C,9.4,2005,2012
CHC,castiwe01,Welington Castillo,C,6.6,2010,2015
CHC,barremi01,Michael Barrett,C,6,2004,2007
CHC,amayami01,Miguel Amaya,C,3.4,2023,2025
CHW,mccanja02,James McCann,C,4.9,2019,2020
CHW,flowety01,Tyler Flowers,C,4.7,2009,2015
CHW,narvaom01,Omar Narváez,C,3,2016,2025
CHW,fordybr01,Brook Fordyce,C,2.8,1999,2000
CHW,grandya01,Yasmani Grandal,C,2.6,2020,2023
CIN,larueja01,Jason LaRue,C,9,1999,2006
CIN,stephty01,Tyler Stephenson,C,8.1,2020,2025
CIN,hanigry01,Ryan Hanigan,C,8,2007,2013
CIN,barnhtu01,Tucker Barnhart,C,7.2,2014,2021
CIN,mesorde01,Devin Mesoraco,C,3.9,2011,2018
CLE,martivi01,Víctor Martínez,C,19.2,2002,2009
CLE,gomesya01,Yan Gomes,C,12.2,2013,2018
CLE,perezro02,Roberto Pérez,C,7.4,2014,2021
CLE,shoppke01,Kelly Shoppach,C,6.3,2006,2013
CLE,diazei01,Einar Díaz,C,4.7,1998,2002
COL,iannech01,Chris Iannetta,C,7.1,2006,2019
COL,diazel01,Elias Díaz,C,5.3,2020,2024
COL,goodmhu01,Hunter Goodman,C,2.3,2023,2025
COL,johnsch04,Charles Johnson,C,2.1,2003,2004
COL,wolteto01,Tony Wolters,C,2.1,2016,2020
DET,rodriiv01,Iván Rodríguez,C,14.2,2004,2008
DET,avilaal01,Alex Avila,C,12.7,2009,2017
DET,martivi01,Víctor Martínez,C,7.6,2011,2018
DET,ausmubr01,Brad Ausmus,C,6.7,1999,2000
DET,haaseer01,Eric Haase,C,2.9,2020,2023
HOU,castrja01,Jason Castro,C,9.2,2010,2022
HOU,diazya02,Yainer Diaz,C,9,2022,2025
HOU,gattiev01,Evan Gattis,C,4.9,2015,2018
HOU,ausmubr01,Brad Ausmus,C,2.7,1998,2008
