franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,johnsra05,Randy Johnson,P,50.9,1999,2008
ARI,goldspa01,Paul Goldschmidt,1B,39.9,2011,2018
ARI,marteke01,Ketel Marte,2B,33.1,2017,2025
ARI,webbbr01,Brandon Webb,P,31,2003,2009
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ATL,jonesch06,Chipper Jones,3B,85.3,1993,2012
ATL,smoltjo01,John Smoltz,P,69.5,1988,2008
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
ATL,freemfr01,Freddie Freeman,1B,43,2010,2021
ATL,acunaro01,Ronald Acuña Jr.,OF,28.6,2018,2025
BAL,jonesad01,Adam Jones,OF,32.3,2008,2018
BAL,machama01,Manny Machado,3B,32,2012,2018
BAL,morame01,Melvin Mora,3B,29,2000,2009
BAL,roberbr01,Brian Roberts,2B,28.8,2001,2013
BAL,markani01,Nick Markakis,OF,26,2006,2014
BOS,martipe02,Pedro Martínez,P,53.5,1998,2004
BOS,ortizda01,David Ortiz,1B,52.5,2003,2016
BOS,pedrodu01,Dustin Pedroia,2B,51.8,2006,2019
BOS,bettsmo01,Mookie Betts,OF,42.5,2014,2019
BOS,bogaexa01,Xander Bogaerts,SS,34.6,2013,2022
CHC,sosasa01,Sammy Sosa,OF,58.8,1992,2004
CHC,zambrca01,Carlos Zambrano,P,43.2,2001,2011
CHC,rizzoan01,Anthony Rizzo,1B,37.1,2012,2021
CHC,bryankr01,Kris Bryant,3B,28,2015,2021
CHC,woodke02,Kerry Wood,P,26.3,1998,2012
CHW,buehrma01,Mark Buehrle,P,48.7,2000,2011
CHW,abreujo02,José Abreu,1B,31.3,2014,2022
CHW,salech01,Chris Sale,P,30.1,2010,2016
CHW,konerpa01,Paul Konerko,1B,29.2,1999,2014
CHW,ordonma01,Magglio Ordóñez,OF,25.3,1997,2004
CIN,vottojo01,Joey Votto,1B,63.6,2007,2023
CIN,phillbr01,Brandon Phillips,2B,28.6,2006,2016
CIN,cuetojo01,Johnny Cueto,P,23.5,2008,2015
CIN,arroybr01,Bronson Arroyo,P,18.3,2006,2017
CIN,bruceja01,Jay Bruce,OF,17.4,2008,2016
CLE,ramirjo01,José Ramírez,3B,57.6,2013,2025
CLE,klubeco01,Corey Kluber,P,32.5,2011,2019
CLE,santaca01,Carlos Santana,1B,31.2,2010,2025
CLE,lindofr01,Francisco Lindor,SS,28.3,2015,2020
CLE,sabatc.01,CC Sabathia,P,28,2001,2008
COL,heltoto01,Todd Helton,1B,61.8,1997,2013
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,arenano01,Nolan Arenado,3B,39.7,2013,2020
COL,tulowtr01,Troy Tulowitzki,SS,39.6,2006,2015
COL,storytr01,Trevor Story,SS,27,2016,2021
DET,verlaju01,Justin Verlander,P,56.1,2005,2017
DET,cabremi01,Miguel Cabrera,1B,49,2008,2023
DET,grandcu01,Curtis Granderson,OF,21.2,2004,2009
DET,scherma01,Max Scherzer,P,21.2,2010,2014
DET,jacksau01,Austin Jackson,OF,20.1,2010,2014
HOU,bagweje01,Jeff Bagwell,1B,79.9,1991,2005
HOU,altuvjo01,Jose Altuve,2B,53.4,2011,2025
HOU,berkmla01,Lance Berkman,OF,48.1,1999,2010
HOU,oswalro01,Roy Oswalt,P,46,2001,2010
HOU,bregmal01,Alex Bregman,3B,39.6,2016,2024
KCR,perezsa02,Salvador Perez,C,35.5,2011,2025
KCR,gordoal01,Alex Gordon,OF,34.8,2007,2020
KCR,greinza01,Zack Greinke,P,29.8,2004,2023
KCR,beltrca01,Carlos Beltrán,OF,24.8,1998,2004
KCR,cainlo01,Lorenzo Cain,OF,24.6,2011,2017
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,weaveje02,Jered Weaver,P,35.9,2006,2016
LAA,ohtansh01,Shohei Ohtani,P,34.6,2018,2023
LAA,erstada01,Darin Erstad,OF,32.6,1996,2006
LAA,kendrho01,Howie Kendrick,2B,28.5,2006,2014
LAD,kershcl01,Clayton Kershaw,P,80.9,2008,2025
LAD,turneju01,Justin Turner,3B,34.6,2014,2022
LAD,bettsmo01,Mookie Betts,OF,32.7,2020,2025
LAD,muncyma01,Max Muncy,3B,27.2,2018,2025
LAD,beltrad01,Adrian Beltré,3B,23.4,1998,2004
MIA,stantmi03,Giancarlo Stanton,OF,35.9,2010,2017
MIA,ramirha01,Hanley Ramírez,SS,26.9,2006,2012
MIA,johnsjo09,Josh Johnson,P,25.7,2005,2012
MIA,castilu01,Luis Castillo,2B,22.4,1996,2005
MIA,willido03,Dontrelle Willis,P,20.8,2003,2007
MIL,braunry02,Ryan Braun,OF,47.2,2007,2020
MIL,yelicch01,Christian Yelich,OF,27.5,2018,2025
MIL,sheetbe01,Ben Sheets,P,22.8,2001,2008
MIL,jenkige01,Geoff Jenkins,OF,22.1,1998,2007
MIL,gomezca01,Carlos Gómez,OF,19,2010,2015
MIN,mauerjo01,Joe Mauer,C,55.6,2004,2018
MIN,radkebr01,Brad Radke,P,45.3,1995,2006
MIN,santajo02,Johan Santana,P,36,2000,2007
MIN,buxtoby01,Byron Buxton,OF,29.8,2015,2025
MIN,hunteto01,Torii Hunter,OF,26.4,1997,2015
NYM,wrighda03,David Wright,3B,49.1,2004,2018
NYM,degroja01,Jacob deGrom,P,43.9,2014,2022
NYM,beltrca01,Carlos Beltrán,OF,31.1,2005,2011
NYM,reyesjo01,José Reyes,SS,27.7,2003,2018
NYM,lindofr01,Francisco Lindor,SS,27.3,2021,2025
NYY,jeterde01,Derek Jeter,SS,71.3,1995,2014
NYY,judgeaa01,Aaron Judge,OF,62.2,2016,2025
NYY,riverma01,Mariano Rivera,P,56.3,1995,2013
NYY,rodrial01,Alex Rodriguez,SS,53.8,2004,2016
NYY,canoro01,Robinson Canó,2B,44.4,2005,2013
OAK,chaveer01,Eric Chavez,3B,35,1998,2010
OAK,hudsoti01,Tim Hudson,P,31,1999,2004
OAK,zitoba01,Barry Zito,P,30.2,2000,2015
OAK,giambja01,Jason Giambi,1B,28.8,1995,2009
OAK,ellisma01,Mark Ellis,2B,26.8,2002,2011
PHI,utleych01,Chase Utley,2B,62,2003,2015
PHI,rolliji01,Jimmy Rollins,SS,47.6,2000,2014
PHI,abreubo01,Bobby Abreu,OF,47.2,1998,2006
PHI,hamelco01,Cole Hamels,P,43,2006,2015
PHI,nolaaa01,Aaron Nola,P,34.9,2015,2025
PIT,mccutan01,Andrew McCutchen,OF,42.6,2009,2025
PIT,kendaja01,Jason Kendall,C,30.7,1996,2004
PIT,martest01,Starling Marte,OF,28.2,2012,2019
PIT,gilesbr02,Brian Giles,OF,26.1,1999,2003
PIT,wilsoja02,Jack Wilson,SS,21.3,2001,2009
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,machama01,Manny Machado,3B,27.1,2019,2025
SDP,peavyja01,Jake Peavy,P,26.8,2002,2009
SDP,gonzaad01,Adrián González,1B,20.4,2006,2010
SDP,headlch01,Chase Headley,3B,18.3,2007,2018
SEA,martied01,Edgar Martínez,3B,68.4,1987,2004
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
SEA,hernafe02,Félix Hernández,P,49.8,2005,2019
SEA,seageky01,Kyle Seager,3B,37,2011,2021
SEA,moyerja01,Jamie Moyer,P,34.4,1996,2006
SFG,bondsba01,Barry Bonds,OF,112.5,1993,2007
SFG,poseybu01,Buster Posey,C,45,2009,2021
SFG,bumgama01,Madison Bumgarner,P,37.4,2009,2019
SFG,crawfbr01,Brandon Crawford,SS,29.8,2011,2023
SFG,cainma01,Matt Cain,P,29,2005,2017
STL,pujolal01,Albert Pujols,1B,88.6,2001,2022
STL,wainwad01,Adam Wainwright,P,45.3,2005,2023
STL,molinya01,Yadier Molina,C,41.6,2004,2022
STL,edmonji01,Jim Edmonds,OF,37.9,2000,2007
STL,carpema01,Matt Carpenter,3B,26.7,2011,2024
TBR,longoev01,Evan Longoria,3B,51.7,2008,2017
TBR,crawfca02,Carl Crawford,OF,35.6,2002,2010
TBR,zobribe01,Ben Zobrist,2B,35.3,2006,2014
TBR,kiermke01,Kevin Kiermaier,OF,31.5,2013,2022
