franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,gonzalu01,Luis Gonzalez,OF,30,1999,2006
ARI,polloaj01,AJ Pollock,OF,18.6,2012,2018
ARI,finlest01,Steve Finley,OF,18,1999,2004
ARI,carroco02,Corbin Carroll,OF,15.7,2022,2025
ARI,peralda01,David Peralta,OF,15.7,2014,2022
ATL,jonesan01,Andruw Jones,OF,61,1996,2007
ATL,murphda05,Dale Murphy,OF,47.4,1977,1990
ATL,acunaro01,Ronald Acuña Jr.,OF,28.6,2018,2025
ATL,justida01,David Justice,OF,24.3,1989,1996
ATL,heywaja01,Jason Heyward,OF,23,2010,2014
BAL,anderbr01,Brady Anderson,OF,34.9,1988,2001
BAL,jonesad01,Adam Jones,OF,32.3,2008,2018
BAL,markani01,Nick Markakis,OF,26,2006,2014
BAL,singlke01,Ken Singleton,OF,21.5,1977,1984
BAL,bumbral01,Al Bumbry,OF,16.1,1977,1984
BOS,evansdw01,Dwight Evans,OF,51.9,1977,1990
BOS,bettsmo01,Mookie Betts,OF,42.5,2014,2019
BOS,riceji01,Jim Rice,OF,42.3,1977,1989
BOS,ramirma02,Manny Ramirez,OF,33.2,2001,2008
BOS,greenmi01,Mike Greenwell,OF,25.8,1985,1996
CHC,sosasa01,Sammy Sosa,OF,58.8,1992,2004
CHC,happia01,Ian Happ,OF,22.4,2017,2025
CHC,dawsoan01,Andre Dawson,OF,18.8,1987,1992
CHC,suzukse01,Seiya Suzuki,OF,11.1,2022,2025
CHC,mcraebr01,Brian McRae,OF,9.3,1995,1997
CHW,ordonma01,Magglio Ordóñez,OF,25.3,1997,2004
CHW,lemonch01,Chet Lemon,OF,24.8,1977,1981
CHW,baineha01,Harold Baines,OF,24.7,1980,2001
CHW,johnsla03,Lance Johnson,OF,21.3,1988,1995
CHW,raineti01,Tim Raines,OF,16.6,1991,1995
CIN,daviser01,Eric Davis,OF,30.6,1984,1996
CIN,fostege01,George Foster,OF,26.1,1977,1981
CIN,sandere02,Reggie Sanders,OF,21.5,1991,1998
CIN,bruceja01,Jay Bruce,OF,17.4,2008,2016
CIN,dunnad01,Adam Dunn,OF,16.6,2001,2008
CLE,loftoke01,Kenny Lofton,OF,48.6,1992,2007
CLE,ramirma02,Manny Ramirez,OF,30,1993,2000
CLE,sizemgr01,Grady Sizemore,OF,27.7,2004,2011
CLE,belleal01,Albert Belle,OF,27.4,1989,1996
CLE,brantmi02,Michael Brantley,OF,24,2009,2018
COL,walkela01,Larry Walker,OF,48.3,1995,2004
COL,gonzaca01,Carlos González,OF,24,2009,2018
COL,blackch02,Charlie Blackmon,OF,21.7,2011,2024
COL,hollima01,Matt Holliday,OF,18.6,2004,2018
COL,burksel01,Ellis Burks,OF,12,1994,1998
DET,lemonch01,Chet Lemon,OF,30.7,1982,1990
DET,gibsoki01,Kirk Gibson,OF,27.7,1979,1995
DET,phillto02,Tony Phillips,OF,25.3,1990,1994
DET,higgibo02,Bobby Higginson,OF,23.1,1995,2005
DET,grandcu01,Curtis Granderson,OF,21.2,2004,2009
HOU,berkmla01,Lance Berkman,OF,48.1,1999,2010
HOU,cruzjo01,José Cruz,OF,44.5,1977,1987
HOU,puhlte01,Terry Puhl,OF,28.4,1977,1990
HOU,springe01,George Springer,OF,27.9,2014,2020
HOU,alvaryo01,Yordan Alvarez,OF,24.2,2019,2025
KCR,wilsowi02,Willie Wilson,OF,42.4,1977,1990
KCR,gordoal01,Alex Gordon,OF,34.9,2007,2020
KCR,beltrca01,Carlos Beltrán,OF,24.8,1998,2004
KCR,cainlo01,Lorenzo Cain,OF,24.6,2011,2017
KCR,dejesda01,David DeJesus,OF,18.1,2003,2010
LAA,troutmi01,Mike Trout,OF,87.5,2011,2025
LAA,salmoti01,Tim Salmon,OF,40.6,1992,2006
LAA,downibr01,Brian Downing,OF,38,1978,1990
LAA,erstada01,Darin Erstad,OF,32.6,1996,2006
LAA,anderga01,Garret Anderson,OF,28.1,1994,2008
LAD,bettsmo01,Mookie Betts,OF,32.7,2020,2025
LAD,kempma01,Matt Kemp,OF,23,2006,2018
LAD,mondera01,Raúl Mondesí,OF,21.6,1993,1999
LAD,ethiean01,Andre Ethier,OF,21.5,2006,2017
LAD,greensh01,Shawn Green,OF,21,2000,2004
MIA,stantmi03,Giancarlo Stanton,OF,35.9,2010,2017
MIA,yelicch01,Christian Yelich,OF,17.6,2013,2017
MIA,floydcl01,Cliff Floyd,OF,16.9,1997,2002
MIA,ozunama01,Marcell Ozuna,OF,13.7,2013,2017
MIA,sheffga01,Gary Sheffield,OF,13.1,1993,1998
MIL,braunry02,Ryan Braun,OF,47.2,2007,2020
MIL,yelicch01,Christian Yelich,OF,27.5,2018,2025
MIL,jenkige01,Geoff Jenkins,OF,22.1,1998,2007
MIL,oglivbe01,Ben Oglivie,OF,21.5,1978,1986
MIL,gomezca01,Carlos Gómez,OF,19,2010,2015
MIN,puckeki01,Kirby Puckett,OF,51.1,1984,1995
MIN,buxtoby01,Byron Buxton,OF,29.8,2015,2025
MIN,hunteto01,Torii Hunter,OF,26.4,1997,2015
MIN,keplema01,Max Kepler,OF,20.5,2015,2024
MIN,macksh01,Shane Mack,OF,19.6,1990,1994
NYM,strawda01,Darryl Strawberry,OF,36.6,1983,1990
NYM,beltrca01,Carlos Beltrán,OF,31.1,2005,2011
NYM,nimmobr01,Brandon Nimmo,OF,26.1,2016,2025
NYM,wilsomo01,Mookie Wilson,OF,20.8,1980,1989
NYM,dykstle01,Lenny Dykstra,OF,16.5,1985,1989
NYY,judgeaa01,Aaron Judge,OF,62.2,2016,2025
NYY,willibe02,Bernie Williams,OF,49.6,1991,2006
NYY,gardnbr01,Brett Gardner,OF,44.3,2008,2021
NYY,henderi01,Rickey Henderson,OF,30.8,1985,1989
NYY,winfida01,Dave Winfield,OF,27.1,1981,1990
OAK,henderi01,Rickey Henderson,OF,72.7,1979,1998
OAK,murphdw01,Dwayne Murphy,OF,31.7,1978,1987
OAK,cansejo01,José Canseco,OF,27.2,1985,1997
OAK,hendeda01,Dave Henderson,OF,19.6,1988,1993
OAK,reddijo01,Josh Reddick,OF,16.5,2012,2016
PHI,abreubo01,Bobby Abreu,OF,47.2,1998,2006
PHI,hayesvo01,Von Hayes,OF,27.2,1983,1991
PHI,harpebr03,Bryce Harper,OF,26.3,2019,2025
PHI,dykstle01,Lenny Dykstra,OF,25.9,1989,1996
PHI,victosh01,Shane Victorino,OF,24,2005,2012
PIT,bondsba01,Barry Bonds,OF,50.3,1986,1992
PIT,mccutan01,Andrew McCutchen,OF,42.6,2009,2025
PIT,vanslan01,Andy Van Slyke,OF,31,1987,1994
PIT,martest01,Starling Marte,OF,28.2,2012,2019
PIT,gilesbr02,Brian Giles,OF,26.1,1999,2003
SDP,gwynnto01,Tony Gwynn,OF,69.2,1982,2001
SDP,tatisfe02,Fernando Tatis Jr.,OF,27.2,2019,2025
SDP,winfida01,Dave Winfield,OF,21.9,1977,1980
SDP,richage01,Gene Richards,OF,19,1977,1983
SDP,gilesbr02,Brian Giles,OF,17.4,2003,2009
SEA,griffke02,Ken Griffey Jr.,OF,70.6,1989,2010
SEA,suzukic01,Ichiro Suzuki,OF,56.4,2001,2019
