franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,batismi01,Miguel Batista,P,11.6,2001,2006
ARI,kimby01,Byung-Hyun Kim,P,8.3,1999,2007
ARI,collmjo01,Josh Collmenter,P,7.6,2011,2016
ARI,zieglbr01,Brad Ziegler,P,7.3,2011,2018
ARI,daalom01,Omar Daal,P,6.8,1998,2000
ATL,kimbrcr01,Craig Kimbrel,P,12.1,2010,2025
ATL,medlekr01,Kris Medlen,P,8.8,2009,2013
ATL,remlimi01,Mike Remlinger,P,7.8,1999,2006
ATL,iglesra01,Raisel Iglesias,P,6.6,2022,2025
ATL,mcmicgr01,Greg McMichael,P,5.7,1993,2000
BAL,odayda01,Darren O'Day,P,11.3,2012,2018
BAL,brittza01,Zack Britton,P,10.8,2011,2018
BAL,johnsji04,Jim Johnson,P,9.9,2006,2013
BAL,bautife01,Félix Bautista,P,6.5,2022,2025
BAL,givenmy01,Mychal Givens,P,6.4,2015,2023
BOS,papeljo01,Jonathan Papelbon,P,16.2,2005,2011
BOS,gordoto01,Tom Gordon,P,8.3,1996,1999
BOS,whitlga01,Garrett Whitlock,P,8.2,2021,2025
BOS,timlimi01,Mike Timlin,P,7.5,2003,2008
BOS,ueharko01,Koji Uehara,P,7.2,2013,2016
CHC,woodke02,Kerry Wood,P,25.5,1998,2012
CHC,marmoca01,Carlos Marmól,P,10,2006,2013
CHC,marshse01,Sean Marshall,P,8.2,2006,2011
CHC,stroppe01,Pedro Strop,P,7.1,2013,2021
CHC,woodtr01,Travis Wood,P,5.6,2012,2016
CHW,foulkke01,Keith Foulke,P,14.4,1997,2002
CHW,thornma01,Matt Thornton,P,10.8,2006,2013
CHW,hernaro01,Roberto Hernández,P,8.8,1993,1997
CHW,jenksbo01,Bobby Jenks,P,8.7,2005,2010
CHW,marteda01,Dámaso Marte,P,8,2002,2005
CIN,chapmar01,Aroldis Chapman,P,10.6,2010,2015
CIN,desseel01,Elmer Dessens,P,10.1,2000,2002
CIN,shawje01,Jeff Shaw,P,9.3,1996,1998
CIN,iglesra01,Raisel Iglesias,P,9.2,2015,2020
CIN,willisc01,Scott Williamson,P,8.1,1999,2003
CLE,claseem01,Emmanuel Clase,P,11.3,2021,2025
CLE,burbada01,Dave Burba,P,10.4,1998,2002
CLE,mesajo01,José Mesa,P,9.5,1993,1998
CLE,plunker01,Eric Plunk,P,9.2,1993,1998
CLE,allenco01,Cody Allen,P,8.7,2012,2018
COL,reedst01,Steve Reed,P,11.8,1993,2004
COL,fuentbr01,Brian Fuentes,P,9.8,2002,2008
COL,ottavad01,Adam Ottavino,P,9.2,2012,2018
COL,leskacu01,Curt Leskanic,P,6.8,1993,1999
COL,ruffibr01,Bruce Ruffin,P,6.8,1993,1997
DET,fulmemi01,Michael Fulmer,P,12.2,2016,2022
DET,brocado01,Doug Brocail,P,7.3,1997,2000
DET,holtoty01,Tyler Holton,P,6.6,2023,2025
DET,lirafe01,Felipe Lira,P,6.5,1995,1999
DET,norrida01,Daniel Norris,P,6.5,2015,2022
HOU,wagnebi02,Billy Wagner,P,16.1,1995,2003
HOU,doteloc01,Octavio Dotel,P,11,2000,2004
HOU,mchugco01,Collin McHugh,P,10.7,2014,2019
HOU,abreubr01,Bryan Abreu,P,7.4,2019,2025
HOU,lidgebr01,Brad Lidge,P,6.8,2002,2007
KCR,soriajo01,Joakim Soria,P,14.3,2007,2017
KCR,hollagr01,Greg Holland,P,11.3,2010,2021
KCR,herreke01,Kelvin Herrera,P,10.6,2011,2018
KCR,kellebr01,Brad Keller,P,9.1,2018,2023
KCR,gordoto01,Tom Gordon,P,8.2,1993,1995
LAA,percitr01,Troy Percival,P,16.8,1995,2004
LAA,rodrifr03,Francisco Rodríguez,P,16,2002,2008
LAA,escobke01,Kelvim Escobar,P,14.1,2004,2009
LAA,shielsc01,Scot Shields,P,12.2,2001,2010
LAA,donnebr01,Brendan Donnelly,P,7.1,2002,2006
LAD,janseke01,Kenley Jansen,P,18.7,2010,2021
LAD,gagneer01,Éric Gagné,P,10.9,1999,2006
LAD,saitota01,Takashi Saito,P,8.1,2006,2008
LAD,broxtjo01,Jonathan Broxton,P,6.1,2005,2011
LAD,dreifda01,Darren Dreifort,P,6,1994,2004
MIA,scottta01,Tanner Scott,P,7.3,2022,2024
MIA,ramosaj01,AJ Ramos,P,6.6,2012,2017
MIA,nenro01,Robb Nen,P,5,1993,1997
MIA,cishest01,Steve Cishek,P,4.9,2010,2015
MIA,bendean01,Anthony Bender,P,4.4,2021,2025
MIL,haderjo01,Josh Hader,P,10.4,2017,2022
MIL,willide03,Devin Williams,P,8.9,2019,2024
MIL,bonesri01,Ricky Bones,P,8.2,1993,1996
MIL,jeffrje01,Jeremy Jeffress,P,7.3,2010,2019
MIL,wickmbo01,Bob Wickman,P,5.9,1996,2000
MIN,nathajo01,Joe Nathan,P,18.4,2004,2011
MIN,aguilri01,Rick Aguilera,P,9.6,1993,1999
MIN,guarded01,Eddie Guardado,P,9.5,1993,2008
