franchise,player_ID,name_common,primary_pos,total_WAR,first_year,last_year
ARI,perdoge01,Geraldo Perdomo,SS,13.5,2021,2025
ARI,drewst01,Stephen Drew,SS,13.2,2006,2012
ARI,ahmedni01,Nick Ahmed,SS,11.5,2014,2023
ARI,bellja01,Jay Bell,SS,9.7,1998,2002
ARI,pennicl01,Cliff Pennington,SS,2.9,2013,2015
ATL,loganjo01,Johnny Logan,SS,33.6,1951,1961
ATL,maranra01,Rabbit Maranville,SS,30.3,1912,1935
ATL,blausje01,Jeff Blauser,SS,20.7,1987,1997
ATL,simmoan01,Andrelton Simmons,SS,15.6,2012,2015
ATL,menkede01,Denis Menke,SS,14.9,1962,1967
BAL,ripkeca01,Cal Ripken Jr.,SS,95.9,1981,2001
BAL,wallabo01,Bobby Wallace,SS,48.7,1902,1916
BAL,belanma01,Mark Belanger,SS,40.8,1965,1981
BAL,stephve01,Vern Stephens,SS,26.6,1941,1955
BAL,hendegu01,Gunnar Henderson,SS,21.4,2022,2025
BOS,garcino01,Nomar Garciaparra,SS,41.2,1996,2004
BOS,petrori01,Rico Petrocelli,SS,39.1,1963,1976
BOS,bogaexa01,Xander Bogaerts,SS,34.6,2013,2022
BOS,peskyjo01,Johnny Pesky,SS,32.7,1942,1952
BOS,valenjo02,John Valentin,SS,32.1,1992,2001
CHC,tinkejo01,Joe Tinker,SS,45.3,1902,1916
CHC,engliwo01,Woody English,SS,26.9,1927,1936
CHC,holloch01,Charlie Hollocher,SS,23.4,1918,1924
CHC,baezja01,Javier Báez,SS,21.8,2014,2021
CHC,jurgebi01,Billy Jurges,SS,15.8,1931,1947
CHW,applilu01,Luke Appling,SS,77.2,1930,1950
CHW,aparilu01,Luis Aparicio,SS,35.3,1956,1970
CHW,davisge01,George Davis,SS,33.2,1902,1909
CHW,ramiral03,Alexei Ramírez,SS,23.5,2008,2015
CHW,weavebu01,Buck Weaver,SS,21.2,1912,1920
CIN,larkiba01,Barry Larkin,SS,70.5,1986,2004
CIN,conceda01,Dave Concepción,SS,40.1,1970,1988
CIN,mcmilro01,Roy McMillan,SS,18.6,1951,1960
CIN,cozarza01,Zack Cozart,SS,15.7,2011,2017
CIN,cardele01,Leo Cárdenas,SS,14.8,1960,1968
CLE,boudrlo01,Lou Boudreau,SS,61.8,1938,1950
CLE,seweljo01,Joe Sewell,SS,45.8,1920,1930
CLE,turnete01,Terry Turner,SS,38.5,1904,1918
CLE,vizquom01,Omar Vizquel,SS,30.2,1994,2004
CLE,chapmra01,Ray Chapman,SS,29.3,1912,1920
COL,tulowtr01,Troy Tulowitzki,SS,39.6,2006,2015
COL,storytr01,Trevor Story,SS,27,2016,2021
COL,barmecl01,Clint Barmes,SS,9.3,2003,2010
COL,tovarez01,Ezequiel Tovar,SS,6.5,2022,2025
COL,weisswa01,Walt Weiss,SS,3.8,1994,1997
DET,trammal01,Alan Trammell,SS,70.6,1977,1996
DET,bushdo01,Donie Bush,SS,38.6,1908,1921
DET,rogelbi01,Billy Rogell,SS,26.7,1930,1939
DET,guillca01,Carlos Guillén,SS,18.6,2004,2011
DET,rigneto01,Topper Rigney,SS,10.8,1922,1925
HOU,correca01,Carlos Correa,SS,35.3,2015,2025
HOU,penaje02,Jeremy Peña,SS,18.6,2022,2025
HOU,thondi01,Dickie Thon,SS,16,1981,1987
HOU,everead01,Adam Everett,SS,12.4,2001,2007
HOU,gonzama01,Marwin González,SS,12,2012,2021
KCR,wittbo02,Bobby Witt Jr.,SS,21.7,2022,2025
KCR,patekfr01,Freddie Patek,SS,20.5,1971,1979
KCR,offerjo01,José Offerman,SS,9.7,1996,1998
KCR,sanchre01,Rey Sánchez,SS,9.2,1999,2001
KCR,escobal02,Alcides Escobar,SS,8.2,2011,2018
LAA,fregoji01,Jim Fregosi,SS,45.9,1961,1971
LAA,aybarer01,Erick Aybar,SS,23,2006,2015
LAA,simmoan01,Andrelton Simmons,SS,19.9,2016,2020
LAA,schofdi02,Dick Schofield,SS,16.3,1983,1996
LAA,eckstda01,David Eckstein,SS,13.1,2001,2004
LAD,reesepe01,Pee Wee Reese,SS,68.5,1940,1958
LAD,willsma01,Maury Wills,SS,32.1,1959,1972
LAD,russebi01,Bill Russell,SS,31.3,1969,1986
LAD,seageco01,Corey Seager,SS,20.9,2015,2021
LAD,dahlebi01,Bill Dahlen,SS,12.7,1901,1911
MIA,ramirha01,Hanley Ramírez,SS,26.9,2006,2012
MIA,rojasmi02,Miguel Rojas,SS,11.4,2015,2022
MIA,renteed01,Édgar Rentería,SS,5,1996,1998
MIA,hechaad01,Adeiny Hechavarría,SS,3.8,2013,2017
MIA,castrst01,Starlin Castro,SS,2.9,2018,2019
MIL,yountro01,Robin Yount,SS,77.4,1974,1993
MIL,adamewi01,Willy Adames,SS,13.9,2021,2024
MIL,valenjo03,José Valentín,SS,11.4,1992,1999
MIL,hardyjj01,J.J. Hardy,SS,11,2005,2009
MIL,hernajo01,José Hernández,SS,6.3,2000,2002
MIN,cronijo01,Joe Cronin,SS,37,1928,1934
MIN,travice01,Cecil Travis,SS,30.5,1933,1947
MIN,mcbrige01,George McBride,SS,22.8,1908,1920
MIN,smallro02,Roy Smalley,SS,20.9,1976,1987
MIN,gagnegr01,Greg Gagne,SS,17.9,1983,1992
NYM,reyesjo01,José Reyes,SS,27.9,2003,2018
NYM,lindofr01,Francisco Lindor,SS,27.3,2021,2025
NYM,harrebu01,Bud Harrelson,SS,18.6,1965,1977
NYM,cabreas01,Asdrúbal Cabrera,SS,6.7,2016,2018
NYM,tejadru01,Rubén Tejada,SS,5,2010,2019
NYY,jeterde01,Derek Jeter,SS,71.3,1995,2014
NYY,rodrial01,Alex Rodriguez,SS,53.8,2004,2016
NYY,rizzuph01,Phil Rizzuto,SS,42.1,1941,1956
NYY,peckiro01,Roger Peckinpaugh,SS,32.1,1913,1921
NYY,crosefr01,Frankie Crosetti,SS,24.4,1932,1948
OAK,campabe01,Bert Campaneris,SS,49,1964,1976
OAK,joosted01,Eddie Joost,SS,26.8,1947,1954
OAK,barryja01,Jack Barry,SS,22.8,1908,1915
OAK,tejadmi01,Miguel Tejada,SS,22.1,1997,2003
OAK,semiema01,Marcus Semien,SS,20,2015,2020
PHI,rolliji01,Jimmy Rollins,SS,47.6,2000,2014
PHI,bowala01,Larry Bowa,SS,21.6,1970,1981
PHI,hamnegr01,Granny Hamner,SS,19.8,1944,1959
PHI,bancrda01,Dave Bancroft,SS,15,1915,1920
PHI,doolami01,Mickey Doolin,SS,14.2,1905,1913
PIT,wagneho01,Honus Wagner,SS,113.9,1901,1917
PIT,vaughar01,Arky Vaughan,SS,67.5,1932,1941
PIT,alleyge01,Gene Alley,SS,24.1,1963,1973
PIT,bellja01,Jay Bell,SS,23.9,1989,1996
PIT,groatdi01,Dick Groat,SS,22.4,1952,1962
SDP,kimha01,Ha-Seong Kim,SS,15.1,2021,2024
SDP,smithoz01,Ozzie Smith,SS,10.9,1978,1981
SDP,templga01,Garry Templeton,SS,10.1,1982,1991
SDP,greenkh01,Khalil Greene,SS,9.3,2003,2008
SDP,bogaexa01,Xander Bogaerts,SS,7.4,2023,2025
SEA,rodrial01,Alex Rodriguez,SS,38.1,1994,2000
SEA,crawfjp01,J.P. Crawford,SS,21,2019,2025
SEA,vizquom01,Omar Vizquel,SS,10.3,1989,1993
SEA,guillca01,Carlos Guillén,SS,9.1,1998,2003
SEA,ryanbr01,Brendan Ryan,SS,7.5,2011,2013
SFG,jackstr01,Travis Jackson,SS,44.1,1922,1936
SFG,fletcar01,Art Fletcher,SS,42.2,1909,1920
SFG,crawfbr01,Brandon Crawford,SS,29.7,2011,2023
SFG,darkal01,Al Dark,SS,27.6,1950,1956
SFG,bartedi01,Dick Bartell,SS,27.3,1935,1946
STL,smithoz01,Ozzie Smith,SS,66,1982,1996
STL,marioma01,Marty Marion,SS,31.7,1940,1950
STL,hemusso01,Solly Hemus,SS,22,1949,1959
STL,templga01,Garry Templeton,SS,18.9,1976,1981
STL,renteed01,Édgar Rentería,SS,16.7,1999,2004
TBR,lugoju01,Julio Lugo,SS,13.5,2003,2006
TBR,francwa01,Wander Franco,SS,11.2,2021,2023
TBR,bartlja01,Jason Bartlett,SS,10.4,2008,2010
TBR,wallsta01,Taylor Walls,SS,9.9,2021,2025
TBR,adamewi01,Willy Adames,SS,7.5,2018,2021
TEX,andruel01,Elvis Andrus,SS,30.1,2009,2020
TEX,youngmi02,Michael Young,SS,25.9,2000,2012
TEX,rodrial01,Alex Rodriguez,SS,25.5,2001,2003
TEX,seageco01,Corey Seager,SS,22.1,2022,2025
TEX,semiema01,Marcus Semien,SS,20.8,2022,2025
TOR,fernato01,Tony Fernández,SS,37.5,1983,2001
TOR,bichebo01,Bo Bichette,SS,20.9,2019,2025
TOR,scutama01,Marco Scutaro,SS,9.8,2008,2009
TOR,gonzaal01,Alex Gonzalez,SS,9.7,1994,2001
TOR,escobyu01,Yunel Escobar,SS,8.6,2010,2012
WSN,turnetr01,Trea Turner,SS,22.3,2015,2021
WSN,desmoia01,Ian Desmond,SS,16.4,2009,2015
WSN,abramcj01,CJ Abrams,SS,10.2,2022,2025
WSN,cabreor01,Orlando Cabrera,SS,9.5,1997,2004
WSN,speiech01,Chris Speier,SS,9.5,1977,1984
